"_id","KetQuaXSBinhDinh_Chuan","KetQuaXSDakLak_Chuan","KetQuaXSDakNong_Chuan","KetQuaXSDaNang_Chuan","KetQuaXSGiaLai_Chuan","KetQuaXSKhanhHoa_Chuan","KetQuaXSKonTum_Chuan","KetQuaXSNinhThuan_Chuan","KetQuaXSPhuYen_Chuan","KetQuaXSQuangBinh_Chuan","KetQuaXSQuangNam_Chuan","KetQuaXSQuangNgai_Chuan","KetQuaXSQuangTri_Chuan","KetQuaXSThuaThienHue_Chuan"
"29-10-2017",,,,,,"{""GiaiDacBiet"":""555199"",""GiaiNhat"":""46894"",""GiaiNhi"":""11099"",""GiaiBa"":""39604,10924"",""GiaiTu"":""58197,97595,69449,22401,53233,85956,36154"",""GiaiNam"":""6206"",""GiaiSau"":""7606,1557,2097"",""GiaiBay"":""851"",""GiaiTam"":""64""}","{""GiaiDacBiet"":""192159"",""GiaiNhat"":""67776"",""GiaiNhi"":""03337"",""GiaiBa"":""86399,08710"",""GiaiTu"":""40331,80956,93793,97037,93877,44033,76644"",""GiaiNam"":""3534"",""GiaiSau"":""7592,4482,9177"",""GiaiBay"":""910"",""GiaiTam"":""19""}",,,,,,,
"30-10-2017",,,,,,,,,"{""GiaiDacBiet"":""677129"",""GiaiNhat"":""10483"",""GiaiNhi"":""29912"",""GiaiBa"":""60063,42103"",""GiaiTu"":""15438,30003,73602,43564,56402,35391,67473"",""GiaiNam"":""0179"",""GiaiSau"":""8380,0585,6124"",""GiaiBay"":""466"",""GiaiTam"":""44""}",,,,,"{""GiaiDacBiet"":""278331"",""GiaiNhat"":""15758"",""GiaiNhi"":""20601"",""GiaiBa"":""92884,83984"",""GiaiTu"":""38062,79252,62749,45527,75575,21013,72214"",""GiaiNam"":""8592"",""GiaiSau"":""5732,0867,2917"",""GiaiBay"":""246"",""GiaiTam"":""93""}"
"31-10-2017",,"{""GiaiDacBiet"":""238952"",""GiaiNhat"":""46643"",""GiaiNhi"":""68083"",""GiaiBa"":""85640,48554"",""GiaiTu"":""44149,86636,28074,69850,56614,89584,92509"",""GiaiNam"":""8864"",""GiaiSau"":""3486,0532,9287"",""GiaiBay"":""959"",""GiaiTam"":""82""}",,,,,,,,,"{""GiaiDacBiet"":""667397"",""GiaiNhat"":""94186"",""GiaiNhi"":""94268"",""GiaiBa"":""40667,45780"",""GiaiTu"":""09198,04620,79566,58288,86148,25715,75033"",""GiaiNam"":""2240"",""GiaiSau"":""7065,1164,3511"",""GiaiBay"":""713"",""GiaiTam"":""43""}",,,
"1-11-2017",,,,"{""GiaiDacBiet"":""603228"",""GiaiNhat"":""43922"",""GiaiNhi"":""25234"",""GiaiBa"":""07596,36254"",""GiaiTu"":""68031,30641,72626,40734,00358,19805,27562"",""GiaiNam"":""6156"",""GiaiSau"":""6827,5607,4606"",""GiaiBay"":""107"",""GiaiTam"":""25""}",,"{""GiaiDacBiet"":""857880"",""GiaiNhat"":""38101"",""GiaiNhi"":""22799"",""GiaiBa"":""10396,04992"",""GiaiTu"":""67700,40177,16313,62363,33870,09420,25094"",""GiaiNam"":""3481"",""GiaiSau"":""4614,3969,0089"",""GiaiBay"":""926"",""GiaiTam"":""62""}",,,,,,,,
"2-11-2017",,,,,,,,,,"{""GiaiDacBiet"":""037578"",""GiaiNhat"":""21875"",""GiaiNhi"":""76233"",""GiaiBa"":""79843,12740"",""GiaiTu"":""32919,42748,96882,15945,68810,33425,53554"",""GiaiNam"":""4850"",""GiaiSau"":""7686,9290,7711"",""GiaiBay"":""862"",""GiaiTam"":""56""}",,,"{""GiaiDacBiet"":""834694"",""GiaiNhat"":""33365"",""GiaiNhi"":""46648"",""GiaiBa"":""60924,66199"",""GiaiTu"":""25927,26894,79107,75953,18764,00313,41019"",""GiaiNam"":""8572"",""GiaiSau"":""3536,6333,6030"",""GiaiBay"":""260"",""GiaiTam"":""53""}",
"3-11-2017",,,,,"{""GiaiDacBiet"":""162570"",""GiaiNhat"":""30148"",""GiaiNhi"":""14213"",""GiaiBa"":""65137,03919"",""GiaiTu"":""65429,87452,11582,51500,84923,14774,50489"",""GiaiNam"":""2087"",""GiaiSau"":""2528,9115,9763"",""GiaiBay"":""019"",""GiaiTam"":""44""}",,,"{""GiaiDacBiet"":""153920"",""GiaiNhat"":""47284"",""GiaiNhi"":""54774"",""GiaiBa"":""71655,23660"",""GiaiTu"":""52087,16114,76058,03051,51062,88455,88660"",""GiaiNam"":""7780"",""GiaiSau"":""6500,9323,8217"",""GiaiBay"":""304"",""GiaiTam"":""21""}",,,,,,
"7-11-2017",,"{""GiaiDacBiet"":""382954"",""GiaiNhat"":""95661"",""GiaiNhi"":""72100"",""GiaiBa"":""57481,99646"",""GiaiTu"":""71158,73532,73408,16231,56768,21610,32970"",""GiaiNam"":""2223"",""GiaiSau"":""0903,5566,1661"",""GiaiBay"":""742"",""GiaiTam"":""71""}",,,,,,,,,,,,
"4-11-2017",,,"{""GiaiDacBiet"":""746498"",""GiaiNhat"":""43492"",""GiaiNhi"":""66416"",""GiaiBa"":""39611,41585"",""GiaiTu"":""50319,61509,53740,66142,69528,42738,48087"",""GiaiNam"":""2539"",""GiaiSau"":""0838,6701,2141"",""GiaiBay"":""906"",""GiaiTam"":""23""}","{""GiaiDacBiet"":""915983"",""GiaiNhat"":""52089"",""GiaiNhi"":""45106"",""GiaiBa"":""31132,38386"",""GiaiTu"":""66799,77613,95001,74799,51701,74073,46400"",""GiaiNam"":""8375"",""GiaiSau"":""5387,7564,9141"",""GiaiBay"":""005"",""GiaiTam"":""84""}",,,,,,,,,,
"5-11-2017",,,,,,"{""GiaiDacBiet"":""597697"",""GiaiNhat"":""65818"",""GiaiNhi"":""84039"",""GiaiBa"":""39199,02341"",""GiaiTu"":""63459,08086,42703,57274,93695,74047,91315"",""GiaiNam"":""6306"",""GiaiSau"":""6503,5329,5839"",""GiaiBay"":""662"",""GiaiTam"":""56""}","{""GiaiDacBiet"":""751332"",""GiaiNhat"":""18582"",""GiaiNhi"":""04812"",""GiaiBa"":""82975,27131"",""GiaiTu"":""62933,83621,34964,54084,03589,76468,03117"",""GiaiNam"":""7535"",""GiaiSau"":""5199,6534,8910"",""GiaiBay"":""112"",""GiaiTam"":""46""}",,,,,,,
"6-11-2017",,,,,,,,,"{""GiaiDacBiet"":""232160"",""GiaiNhat"":""99841"",""GiaiNhi"":""90430"",""GiaiBa"":""93724,60150"",""GiaiTu"":""52128,16251,72986,44589,82638,53433,65384"",""GiaiNam"":""7417"",""GiaiSau"":""9842,5235,8204"",""GiaiBay"":""983"",""GiaiTam"":""36""}",,,,,"{""GiaiDacBiet"":""879010"",""GiaiNhat"":""27320"",""GiaiNhi"":""43571"",""GiaiBa"":""45318,59763"",""GiaiTu"":""34019,84532,21692,12583,47975,13103,10405"",""GiaiNam"":""2181"",""GiaiSau"":""3512,9638,7619"",""GiaiBay"":""200"",""GiaiTam"":""53""}"
